ISO,SOV,SVO,OSV,OVS,VSO,VOS,MAX,WALS,SO,OS,Num_Sentences,H,H_SO,num_tokens,H_ML,H_MM,H_Jeff,H_Lap,H_SG,H_minmax,H_CS,H_NSB,H_shrink,corpus
aai,57,8,11,6,1,2,SOV,_,66,19,85,1.5618820700585552,0.7665599404543364,50000.0,9.2664129494,9.3408704404,9.5095203812,9.7178581927,9.2665153047,9.2891263738,9.4599690933,9.3876079935,9.2810234404,PBC
aak,77,16,20,30,5,9,SOV,_,98,59,157,2.0696092273188382,0.9550188085372384,50000.0,9.9908817187,10.0969053772,10.2964717066,10.5465079783,9.9909743394,10.0114480925,10.2383759035,10.1356367029,10.0095449756,PBC
aau,31,1,7,0,1,0,SOV,SOV,33,7,40,0.9911388429774534,0.6690158350565576,50000.0,8.3677145862,8.4018920317,8.4888173056,8.5990492835,8.3678221766,8.3915277838,8.4539701343,8.428913496,8.3825368465,PBC
abt,29,6,4,8,1,1,SOV,SOV,36,13,49,1.7699909897677282,0.8346482851813828,50000.0,8.7910311501,8.837009841,8.9446252387,9.0819589941,8.7911335344,8.8137204713,8.9058110532,8.8668296497,8.8049102941,PBC
aby,50,11,10,10,5,5,SOV,_,66,25,91,2.0033506826122416,0.8481636883083002,50000.0,9.1449744804,9.2089147246,9.3531712034,9.5343143374,9.1450757373,9.1674354943,9.3058746976,9.247740261,9.1570655614,PBC
acc,4,19,5,1,2,2,SVO,_,25,8,33,1.8831740214837585,0.7990485210442682,,,,,,,,,,,
acd,5,22,3,1,1,2,SVO,_,28,6,34,1.6618150887026681,0.6722948170756379,50000.0,7.6845289451,7.7106850062,7.7862734197,7.8805406359,7.6846459125,7.7104025345,7.7554357825,7.7378891424,7.6917805966,PBC
ace,3,50,8,5,6,6,SVO,No dominant order,59,19,78,1.7523651999649357,0.8009591077369054,50000.0,8.5438291524,8.5908898647,8.7124029111,8.8630281018,8.5439389857,8.5681725912,8.6692950404,8.6303146162,8.5554834173,PBC
acf,9,46,12,1,0,1,SVO,_,55,14,69,1.3892096017019764,0.7276874545656657,50000.0,7.9717194128,8.0037472427,8.0916003991,8.2017004574,7.9718324817,7.9967563222,8.0572761183,8.0336724831,7.980801988,PBC
acn,57,2,17,11,2,1,SOV,_,61,29,90,1.5583492417334937,0.9067816913292784,50000.0,8.0133403548,8.039164596,8.1040007925,8.1881436644,8.0134457916,8.0366682641,8.0749894716,8.0583581384,8.0229493905,PBC
